question	answer
補骨是什麼？	牙齒在口腔中需要依靠齒槽骨進行支撐，如果齒槽骨不夠健康穩固，就會影響植牙後的堅固與耐用程度。因此如果齒槽骨的情況還不適合進行植牙，醫師可能會建議補骨，等到齒槽骨狀況穩定、足夠健康之後再行植牙。
植牙骨粉的種類與費用介紹	用來促進齒槽骨生長的骨粉有許多種類，各有優缺點，可單獨使用也可混合使用，端看患者的情況與醫師的判斷。
不須補骨的植牙新選擇：All-on-4全口植牙	相較於需補骨的傳統植牙，現在也可以選擇植牙新技術「All-on-4全口植牙」，只需使用四顆植體就完成一排牙齒的重建，一天內即可完成。由於植體較少，可避開不夠健康穩固的齒槽骨，不需補骨就可完成植牙，讓你快速恢復咀嚼能力與亮麗外觀。
誰需要補骨？	(1)缺牙過多 (2)缺牙過久 (3)拔牙過程中曾傷及骨頭 (4)外傷導致骨頭斷裂 (5)其他造成骨頭損傷的原因 。
骨粉是什麼？	進行補骨時會使用「骨粉」來治療，也可稱為「補骨粉」。醫師在診斷時會依據電腦斷層的檢查結果判斷，進行植牙時植入的植體是否會超出骨頭，如果骨頭大小不足以容納植體，就會使用骨粉促進骨頭生長，增加穩定度。這些骨粉會被填入齒槽骨，用來促進骨頭生長。由於骨粉屬於輔助材料，會隨時間慢慢流失，最終仍須依靠身體生長出的骨頭，才能使齒槽骨回復健康。
補骨方式有那些？	補骨的手術有許多種，端看患者的情況，一般分為以下五種方式，可單獨或者合併應用。(1)骨移植術 (2)骨劈開擴張術 (3)齒槽骨牽引形成術 (4)骨引導再生術 (5)上顎竇底增高術 。其中骨移植、骨劈開、骨牽引屬於傳統術式，傷口較大，效果也較難預期，故現今已較少使用。常見方式會在缺損的地方填入骨粉，就可以等待骨頭慢慢生長，成為適合植牙的健康狀態。
掌握植牙注意事項，避免補骨牙齦腫脹	在補骨手術過後，部分患者會有臉部腫大、疼痛、出血等問題。為了避免這些狀況，以及讓補骨手術達到最好效果，完成手術後仍有不少事情需要患者注意。(1)不要碰觸患部或刺激傷口 (2)手術後2~3天內減少漱口、吐口水等會衝擊血塊的行為，讓口腔內的傷口有時間癒合 (3)手術後兩周內不要從事氣壓、溫度變化大，會影響癒合情況的行為，比如潛水、登山、泡熱水澡 (4)遵照醫師指示用藥、回診觀察 。等到術後齒槽骨復原情況良好，足以支撐植入的植體後，就可以進行植牙手術。
接受植牙後，就不會有牙周病問題嗎？	植牙並不能保證不再會有牙周病。植牙前，應先確認已解決牙周問題，徹底清除牙菌斑、牙結石後，評估允許才能植牙。植牙後，仍須正確清潔牙齒、保持口腔衛生，才不會再次讓病菌繁衍，再度形成牙周病。因牙周病而缺牙者，也得檢討過去口腔保健習慣是否正確，應該清潔的死角，不能再忽略，就算治療好了，若沒有好好保養，還是可能被牙周病「纏上」。牙周病治療、植牙後，也應定期的回診追蹤。  
牙齦萎縮就代表我可能有牙周病嗎？	牙周病造成齒槽骨流失，的確會使覆蓋其上的牙肉愈來愈低。其他造成牙齦萎縮的原因還包括：牙周組織太薄：東方人牙周組織較薄，受到外力如矯正治療、夜間磨牙或潔牙動作影響，比組織厚者易萎縮。不當的口腔衛生習慣：刷牙力道過度或工具使用不當，易造成牙齦萎縮。年齡老化：健康牙齦也會隨年紀有些許萎縮，屬自然老化現象。其他：如磨牙、不良的假牙邊緣、排列不良的牙齒…等等。所以，必須了解牙齦萎縮的原因，才能對症下藥。
聽說不是每位牙醫都會治療牙周病，需找專科醫師嗎？	一般牙科醫師訓練皆可治療牙周病，然而牙周病專科醫師在一般養成訓練後，還需接受三年以上的專科訓練，進一步學習牙周病的診斷與治療，並配合其他專科醫師執行相關治療，如牙冠增長手術、牙周美容手術等。 
什麼情況容易造成植牙條件不好?	1.缺牙的時間過久 2.腫瘤而造導致的骨破壞3.外傷導致骨頭斷裂 4.拔除患有極度牙周病的牙齒 5.長時間使用活動假牙導致牙齦萎縮 6.拔牙過程破壞到過多的齒槽骨
植牙術前評估 補骨不可馬虎	依據患者牙齒情況的差異，例如:骨條件不足的輕重程度，進行補骨手術的療程時間也會有所不同。狀況較輕的患者可能會在植牙時一同進行補骨；如果骨質流失過多的患者就需要在植牙手術前先行補骨了，並確認骨頭條件適合之後才能進行植牙。       但也有部份患者因為骨質情況難以修復，即使補骨後也不足以支撐植牙，此類狀況就建議做活動假牙或是傳統牙橋了。所以建議患者若有任何情況還是盡快就醫，讓醫師檢查評估並給予專業建議。
植牙前為何需要補骨手術呢？	其實並不是所有植牙患者都需要補骨，但若是準備植牙的部位，齒槽骨不夠寬、缺牙太久、口腔狀況不佳、牙周病、外傷…..等因素造成骨條件不足，可能會導致植牙手術後，植體無法與自身骨頭結合，而容易搖晃、鬆脫，而降低植牙成功率。              植牙需要有一定的高度與寬度的齒槽骨，才能讓人工牙根固定，因此骨質條件不足造成無法植牙的患者，需要先進行「黃金比例補骨術」，讓骨頭條件適合後再繼續下一步的植牙手術。      人工牙根植入齒槽骨中，周圍大約需要1至1.5毫米的支持骨，而補骨手術是將骨粉放置在缺乏骨質的齒槽骨中，進而引導協助骨質增生，而每個人的恢復期也不相同，大致需要幾個月至半年左右的時間，骨粉也分為好幾種，人骨、動物骨、人工合成材料3大類。
舒眠的應用範圍	舒眠除了應用在植牙麻醉上，也可以讓牙周病治療、兒童牙科、拔牙......等療程，使牙齒治療過程中更加舒適，亦能應用在牙齒美容療程上。
淺眠中完成植牙手術	舒眠植牙最大的特色在於讓患者在淺層睡眠的狀態中完成手術，途
微創快速植牙流程	在患者口腔狀況許可的前提下，將拔牙、上顎竇增高、補骨、植牙、植牙第二階段、臨時支撐假牙等繁瑣的療程在僅僅一次的手術中完成，即是微創快速植牙。將傳統植牙手術中的拔牙、上顎竇增高、補骨、植牙、植牙第二階段、臨時支撐假牙……等繁瑣的療程，集中在一次的手術中完成，即是微創快速植牙，但前提是在患者口腔狀況許可的情況下。       雖說微創植牙將許多步驟在一次性的植牙手術中完成，仍需等待3-6個月骨整合之後，再進行印模以及裝戴假牙的階段，相較起傳統植牙節省了許多回診療程時間。
推薦什麼樣的人做微創植牙呢？	其實幾乎每位植牙患者都可作微創植牙，不過特別適合有長時間無法待在國內的商務人士，能省下頻繁回診的時間。
微創植牙是否會影響成功率？	並不會。但微創植牙仍需要醫師有足夠的植牙經驗才能夠進行良好的微創植牙手術，晶晶植牙中心不管是儀器或是醫師的經驗皆可以勝任微創植牙。
微創植牙可以搭配TCI做舒眠植牙嗎？	可以。此兩者並不相衝突，舒眠植牙能夠讓患者在淺層睡眠的狀態完成植牙，也有非常多患者同時搭配兩者進行手術。
微創快速植牙的費用會比傳統植牙貴嗎？	不會有太大的差別，除非有需要另外進行的療程，不然微創植牙與傳統植牙的費用相差無幾。
微創植牙是否會縮短植體使用年限？	並不會。只要植體與齒槽骨結合達成骨整合，便是一個成功的植牙了。但後續的個人口腔護理與定期回診皆需要落實，以避免產生發炎等反應，才可以確保植牙的壽命。
減少植牙手術時間達到快速植牙	多數傳統的植牙手術總是非常耗時，而且需要多次看診，而微創植牙則可以減少植牙患者多次手術的困擾，同時也可以減少傷口產生的次數，也就減少了患者身心靈的不適與壓力。而微創植牙雖然縮短患者接受手術的次數，晶晶植牙中心仍然秉持著專業的精神維護良好的醫療品質與效果，讓患者能夠享有快速有高品質的植牙療程。
人工植牙手術方式	在缺牙的地方植入一顆人工牙根便是人工植牙，缺牙的原因有很多，舉凡外傷、口腔疾病…等因素，根據缺牙的原因也會影響植牙術前的前置作業。在前置作業後會將鈦金屬製成的人工牙根植入骨內，選用鈦合金的原因是跟人骨的相容性較佳，不會產生排斥作用。
植牙前推薦需要詳細評估	而植牙手術後的恢復是依據植牙部位、患者的身體狀況......等情況也會有差別，通常下顎需要三個月；而上顎則是四個月就可以骨整合，也就是人工牙根與骨頭緊密接合，最後才會接上假牙，植牙前與牙醫師進行詳細評估，以了解自身情況有無需要調整植牙方式或其他額外植牙前治療。
更理想的假牙設計	缺牙數量比較多的患者可以透過人工植牙來做固定式假牙，從此擺脫麻煩的活動假牙。對於缺牙數目沒這麼多的患者，人工植牙也可以有效支撐假牙，都可以提供相較於傳統活動假牙更好的穩固性與咀嚼力。
